## 五、研制基础

### （二）技术基础

本项目可继承的不是某一套现成反蜂群系统，而是水声探测、低空飞行控制、射频功率源、诱饵辐射、柔性材料、近炸引信、战斗部和车载布设等成熟工程门类。现有材料未提供国内现役型号、样机试验、批量供应商和成本数据，以下判断可支撑原理样机及分系统研制，不能直接等同于具备列装条件。

| 装备 | 可继承成熟基础 | 新增研制与关键缺口 | 试验、供应链与成立条件 |
|---|---|---|---|
| 随浪伏击反蜂群弹 | 可利用被动水声、耐压密封、低功耗待机、坐底布放和破片战斗部技术。 | 需从过顶声事件中判出蜂群波次，并完成坐底自持、垂直穿浪和密集段起爆；缺浅海混响、风浪噪声、声学样本、待机寿命和有效杀伤高度数据。 | 水听器、电池、密封件有通用供应基础，但必须补上海上底质、长期坐底、实波次靶试，以及布放回收和误触安全验证。 |
| 掠波连扫拦截机 | 可承接小型飞行平台、自动飞控、破片战斗部和快速换装机构。 | 其核心不是逐架搜索，而是让横向破片刃带反复穿越密集波前；需解决定高对时、刃带展开、破片密度衰减和连续返场，缺单趟削减率、侧风适应和再装填节拍。 | 机体、动力和一般弹药链较成熟，应先做风洞、缩比波前穿越和多波次飞行试验；刃带专用结构及批量补装工艺尚无证据。 |
| 驻空扫域电磁灭群巡飞弹 | 可借用巡飞平台、固态射频源、天线阵、储能和热管理基础。 | 需把高功率照射做成弹载驻空、按扇区反复覆盖的体积清算能力，使低成本无人机成批失能；缺有效作用距离、目标抗扰阈值、重复照射占空比、散热余量和己方电磁兼容数据。 | 功率半导体、储能和飞控可承接，但小型化功率源、轻量天线和弹载热控是瓶颈，应先完成地面效应靶试再开展飞行照射验证。 |
| 引浪吞波聚爆诱杀弹 | 可利用诱饵、可编程辐射源、近防战斗部和阵地伪装技术。 | 需复现真节点的多参数辐射特征，并由成组诱饵把敌弹引入收拢毁伤区；缺敌导引头分选特征、逼真度阈值、收拢弹道包线和清算比例。 | 射频模块与弹体可分别采购，但同步辐射、低成本一次性结构和安全起爆需成组靶试；对不依赖链路的全自主蜂群，成立边界明显收窄。 |
| 迎面撒网捕蜂拦截弹 | 可继承高强度纤维、折叠网具、空投展开和高空投放平台。 | 需实现迎风自展、横向成网、分段补投和整簇缠裹，把防护对象由单机转为低空走廊截面；缺风场展开概率、网幕保形时间、包裹效率和补投周期。 | 纤维和包装具备民用供应基础，但应经过风洞、实投、连续封段和净空安全试验；高空分散、绕行或恶劣天气会削弱其作用。 |
| 过境层云爆轰断波弹 | 可利用车载底盘、燃料储运、雾化喷布和多点起爆技术。 | 必须证明海上开放环境中气溶胶层能够成层保持并同步起爆，才能把波次航路变成断裂区；缺风雨湿度、沉降、浓度维持、同步误差和对己方航运安全数据。 | 适合先做扩散仿真和缩比海上铺层试验，底盘泵阀可承接，但燃料安全、海上浓度控制和整车连续作业能力尚未形成工程闭环。 |
| 撞线自付近防弹巢 | 可借用无源触发、近炸引信、一次性弹巢、破片战斗部和节点伪装。 | 需只在目标进入真实撞击末段时自主起爆，避免被远距诱饵、巡飞目标和电磁压制提前耗尽；缺末端判向、误触率、覆盖间距、寿命、人员安全距离及对自主蜂群的实测。 | 弹体和通用引信可能承接，但专用末端感知组件、密集布设标准和维护补充链未被证明，必须先完成诱饵绕飞、末段撞击和节点安全试验。 |

从技术基础看，随浪伏击反蜂群弹、掠波连扫拦截机和撞线自付近防弹巢分别把交战单位改为海上波前、低空走廊和节点末端，具备先做样机验证的条件；驻空扫域电磁灭群巡飞弹受功率、散热和抗扰阈值制约；引浪吞波聚爆诱杀弹、迎面撒网捕蜂拦截弹和过境层云爆轰断波弹则必须先证明其关键效应机理。现有证据不足以确认专用部件的稳定产能、单位成本和批量保障能力，研制安排应以机理靶试和多波次压力试验作为转入工程化的门槛。
