## 五、研制基础

### （二）技术基础

本项目已有基础主要来自成熟的水下声学探测、无人平台飞行控制、弹药战斗部、柔性材料、射频功率源和车载快速布设等工程门类，但输入材料没有给出现役型号、样机试验、供应商或产能证据。因此，下述“可继承基础”仅表示技术门类具备承接条件，不等同于相关装备已经定型；真正影响立项的，是把这些成熟部件组合为新的交战几何，并补齐面向蜂群波次的实测数据。

| 装备 | 可继承成熟基础 | 新增研制工作与可研缺口 | 试验及供应链条件 |
|---|---|---|---|
| 随浪伏击反蜂群弹 | 可继承水听器、低功耗电子、自持电源、密封耐压壳体、惯性姿态控制和破片战斗部基础。 | 新增坐底长期值守、过顶声包络识别、判明后垂直穿浪及波级起爆控制。缺少浅海混响、风浪噪声、敌蜂群声学样本、待机寿命和破片幕有效高度数据。 | 需海上底质水文试验、长期坐底耐久试验和实波次靶试；水听器、电池、密封件可由成熟门类承接，但坐底布设、回收补投和民船误触安全链尚无证据。 |
| 掠波连扫拦截机 | 可继承小型飞行平台、自动飞控、空投载荷和破片战斗部技术。 | 核心新增是横向刃带展开、按波前截面掠穿和快速返场再生，须验证定高、对时、刃带宽度、破片密度衰减、连续趟次及自身生存性。当前没有单趟清削率、平台损失率和再装填节拍数据。 | 应先做风洞、缩比截面穿越和多波次飞行试验，再进行有人区安全评估；平台机体、动力和带材供应具备通用基础，刃带专用结构与批量再装填工艺需要新建。 |
| 驻空扫域电磁灭群巡飞弹 | 可继承巡飞弹平台、脉冲电源、天线阵、射频功率器件和热管理技术。 | 新增弹载宽频高功率微波源、驻留供能、覆盖域场强控制及对己电磁兼容。缺少弹载有效作用距离、目标抗扰阈值、重复脉冲占空比、热平衡和驻留时长实测值。 | 需先完成地面射频效应靶试，再开展载机照射、节点兼容和反辐射生存试验；功率半导体、储能、天线和飞控有供应链基础，但小型化高功率源和弹载热控是主要瓶颈。 |
| 引浪吞波聚爆诱杀弹 | 可继承主动诱饵、可编程辐射源、温压战斗部、近炸引信和阵地伪装技术。 | 新增仿形真节点的多参数辐射复现、真源静默管理、弹群收拢判定和贴近布设安全距离。缺少敌导引头分选特征、诱饵逼真度阈值、收拢率及单轮清算比证据。 | 必须进行辐射特征对抗、成组收拢和近界起爆试验；射频模块和战斗部可分别采购，但多源同步、诱饵补充和真节点静默纪律不能由单一供应商解决。 |
| 迎面撒网捕蜂拦截弹 | 可继承高强度柔性纤维、折叠包装、空投机构和高空气球或运输机投放平台。 | 新增成串投放、迎风自展、网幕保形及整簇缠裹设计，需测定乱流展开概率、网幕有效幅宽、在位时间、小目标包裹率和补网周期。 | 应开展材料拉伸、风洞展开、空投实投和走廊段连续补网试验；纤维、配重和包装具备民用供应基础，但航空净空、落网取证和恶劣天气使用条件必须单独验证。 |
| 过境层云爆轰断波弹 | 可继承车载底盘、燃料储运、雾化喷射、多点起爆和时间窗控制技术；其体爆轰原理具有公开物理基础。 | 新增开放海上数公里成层、浓度保持、边界判读和同步起爆。材料明确缺少风雨湿度条件下的云层稳定性、爆轰连续性、诱饵试触后的再铺能力及对己航运安全数据。 | 需先做扩散仿真、缩比海上铺层和多点同步爆轰试验，再评估整车集成；底盘、泵阀和引信可承接，燃料储运、防早燃和海上浓度控制构成供应与安全审查重点。 |
| 撞线自付近防弹巢 | 可继承近炸引信、一次性弹巢、被动触发和小型破片战斗部。 | 新增仅以真实撞击末段为条件的低虚警感知、无源长期待机和节点周边密集布设。输入没有给出触发判据、误炸率、覆盖间距、寿命、战斗部安全距离及对自主蜂群的有效性证据。 | 应先做静态触发、末段撞击、诱饵绕飞和密集布设安全试验；通用引信与弹体供应可能承接，但缺少专用末端航迹判定组件和节点级安全标准，不能直接宣称已有成熟基础。 |

综合看，P1随浪伏击反蜂群弹和P2掠波连扫拦截机的基础工程链相对清晰，宜优先开展海上声学、波前截面和重复出动验证；P3电磁巡飞弹依赖弹载功率、热控与效应阈值闭合；P4至P7虽可借用成熟部件，但关键制胜机理尚缺直接试验证据。公开材料未提供国内现役反蜂群装备的型号、单位、产能和成本基线，也未证明上述专用部件已有稳定供应商，故研制基础目前足以支撑原理样机和分系统试验，不足以据此直接判断批量列装条件。
