No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,architecture_execution_overview.png,1928,1632,1.18,1.18,pixel,1,,bitmap,True,True,593.9,Near square,709x600,431x600
2,benchmark_results.png,435,1280,0.34,0.34,pixel,1,,bitmap,True,True,331.5,Portrait,204x600,936x600
3,capability_view.png,755,712,1.06,1.06,pixel,1,,bitmap,True,True,172.1,Near square,636x600,504x600
4,cover_multi_agent_closed_loop.png,1672,941,1.78,1.78,pixel,1,,bitmap,True,True,1109.3,Wide landscape,812x457,328x600
5,debug_interaction_full.jpg,1265,712,1.78,1.78,pixel,1,,bitmap,True,True,92.8,Wide landscape,812x457,328x600
6,image_001.emf,749,718,1.04,0.98,manifest,1,,office_vector,False,True,216.9,Near square,626x600,514x600
7,interaction_gate_overview.jpg,543,130,4.18,4.18,pixel,1,,bitmap,True,True,0.7,Ultra-wide,1160x278,1160x302
8,interaction_gate_overview.png,543,130,4.18,4.18,pixel,1,,bitmap,True,True,0.7,Ultra-wide,1160x278,1160x302
9,interaction_gate_overview_v2.jpg,600,165,3.64,3.64,pixel,1,,bitmap,True,True,23.3,Ultra-wide,1160x319,1160x261
10,interaction_recall_complete.jpg,590,295,2.00,2.00,pixel,1,,bitmap,True,True,29.5,Wide landscape,812x406,328x600
11,interaction_recall_complete_full.jpg,1265,712,1.78,1.78,pixel,1,,bitmap,True,True,89.2,Wide landscape,812x457,328x600
12,interaction_recall_complete_v2.jpg,570,255,2.24,2.24,pixel,1,,bitmap,True,True,23.5,Ultra-wide,812x363,328x600
13,interaction_recall_request.jpg,590,300,1.97,1.97,pixel,1,,bitmap,True,True,24.6,Wide landscape,812x413,328x600
14,interaction_recall_request_full.jpg,1265,712,1.78,1.78,pixel,1,,bitmap,True,True,77.4,Wide landscape,812x457,328x600
15,interaction_recall_request_v2.jpg,570,255,2.24,2.24,pixel,1,,bitmap,True,True,20.9,Ultra-wide,812x363,328x600
16,interaction_view.png,755,712,1.06,1.06,pixel,1,,bitmap,True,True,183.0,Near square,636x600,504x600
17,project_architecture_generated.png,1402,1122,1.25,1.25,pixel,1,,bitmap,True,True,1210.3,Standard landscape,750x600,390x600
18,project_architecture_generated_v2.png,1672,941,1.78,1.78,pixel,1,,bitmap,True,True,1302.9,Wide landscape,812x457,328x600
19,winning_view.png,1265,712,1.78,1.78,pixel,1,,bitmap,True,True,383.5,Wide landscape,812x457,328x600
20,workbench_home.png,1253,705,1.78,1.78,pixel,1,,bitmap,True,True,273.2,Wide landscape,812x457,328x600
