## 三、总体方案
### （二）子系统方案
本栏不把智能巡飞精打弹药写成一套通用弹体架构，而是按交战矛盾拆成不同子系统形态：有的要把目标选择前移到弹体群内，有的要把拦截节奏拆成多回合，有的要靠海面遮蔽压缩发现窗口，有的要用可变构型或矢控把末段机动做成决定性差异。外部ISR/C2只负责给定任务域、粗略目标区和约束条件，真正决定能否在岛链拒止环境成立的，仍是弹体本体能否在受扰、失链、欺骗目标和分层防空压力下完成末端判别、降级导航、姿态控制和安全中止。

| 子系统对象 | 本体构型与控制 | 必要输入/输出 | 关键接口与验证 | 成立边界 |
|---|---|---|---|---|
| 群栖自组巡飞精打弹 | 多弹分布式决策，弹内完成目标接替、攻击轮换和损毁评估，不再依赖单点指挥串行下令 | 输入以外部粗目标区、局部链路状态、弹体健康状态为主；输出是群内再分配、末攻排序和打击确认 | 重点验证弱通信下的局部重规划、节点失效后续战能力和目标混淆环境下的群内判别；接口应是低带宽、可断续的任务广播与状态回传 | 只要它仍需持续外部指示才能选靶，就不是真正的群内自治；如果通信中断后群体立刻失序，制胜机理不成立 |
| 蜂簇接力巡猎精打弹 | 单个载体内置并顺序释放多个小型攻击单元，靠释放节奏把一次突防拆成连续压力 | 输入是载体级任务节拍、释放窗口和载荷装填关系；输出是前导单元消耗拦截、后续单元接续毁伤 | 要验证分离可靠性、序列控制和在部分受损后仍可完成后续投送的能力；接口核心在舱内装填、释放机构和分时控制 | 若分离误差、重量惩罚或载荷占比过高导致单次出动价值下降，这一路线就会失去低成本交换比 |
| 气膜掠波隐巡击弹 | 以超低空贴海飞行为主，靠海面背景和气膜效应压低被探测概率，末段再转入识别与攻击 | 输入主要是海况、航路约束和末段识别信息；输出是对岸基雷达、火控和防空单元的近程突防 | 接口要覆盖海面高度保持、耐盐雾和末段传感器切换；验证重点是不同海况下的稳定贴波、背景杂波中的目标保持与出水前后控制连续性 | 海况和传感器杂波一旦超出可控范围，贴海隐蔽就会退化为普通低空飞行，原有优势随之消失 |
| 形记忆折展巡飞精打弹 | 通过可折展骨架在巡航和接敌阶段切换翼面与盘旋半径，把航程效率和临机机动合在一起 | 输入是巡航段节能约束和末段机动需求；输出是更低阻的远程航渡与更陡的攻击改向 | 验证应看折展循环可靠性、展开后气动稳定性和在威胁逼近时的切换时延；接口集中在机翼锁定、热-结构管理与发射兼容 | 如果折展机构把可靠性和成本拖垮，或切换动作过慢，这类设计就只能停留在概念层 |
| 磁流体矢控巡飞精打弹 | 依靠磁流体受控重分配形成侧向矢量，末段做连续小半径折转，打乱对手按常规航迹计算的拦截解 | 输入是末段修正指令、供能和姿态状态；输出是不可预判的机动轨迹和更高的防御判定负担 | 必须验证磁场响应速度、热管理和密封可靠性；接口重点是供电、控制律与弹体内部流体通道 | 一旦供能和散热撑不住，或者偏转滞后于防御反应时间，这条路线就不会比传统舵面更有意义 |
| 双体耦合巡飞精打弹 | 以前体引导、后体主攻的耦合方式接敌，把一次拦截拆成两轮决策负荷 | 输入是前后体协同状态、偏置航向和末攻时机；输出是前段消耗搜索分配资源、后段完成精确毁伤 | 验证要盯住耦合稳定性、前后体同步和偏置航向下的终端收敛；接口在机械耦合、时序控制和末段接管 | 若耦合关系让签名上升、同步失败率偏高或末段接管不稳，这种结构的优势会被自身复杂度抵消 |
| “玄礁”水下跃升巡飞弹 | 先在水下规避雷达和空中拦截链，出水后立即转入末段识别并俯冲命中 | 输入是水下航向、跃升窗口和末段目标几何；输出是对港湾、登陆点和靠岸舰艇的跨介质打击 | 接口必须覆盖密封、浮跃转换、出水后传感器重捕获和末段俯冲控制；验证重点是跨介质转换成功率与出水后重识别连续性 | 只要跨介质转换不稳定，或者出水后仍依赖持续外部链路，它就很难比常规海空突防更有价值 |

这组子系统的共同点，不是共享一套口号式架构，而是各自把“谁来承担最后几公里的判断”分得很清楚。能形成体系贡献的，只有那些把末端自治、节奏拆分、海面遮蔽、构型切换、矢量机动或跨介质跃升真正做进弹体本体的方案；凡是必须靠持续联网、固定目标指示或理想海况才能成立的设计，都应在工程验证中被明确筛掉。
