## 三、总体方案

### （二）子系统方案

| 装备 | 产品形态与构型取舍（由作用链反推） | 控制机理与自主闭合点 | 必要输入输出与关键接口 | 工程验证闭环 |
|---|---|---|---|---|
| 蜃楼抱弹诱撞无人机 | 一架机体同时压住"诱得住"和"撞得准"两项互斥需求：蒙皮共形布置散射调控层、射频模拟源与热辐射源，以无源散射层承担主反射、有源源只补盲，按任务剖面分阶段调度能量，否则辐射源耗电发热与升力、散热同时把平台压垮。 | 投放即脱离指挥关系，全程不接收指令。全流程唯一转入杀伤的门槛，是机载解算逼近率、敌照射与截获特征、来袭弹药方向后判定"已被咬住"；未咬合则继续露头并保持与真长机特征一致，绝不提前打断伪装。 | 输入为战前装订的敌辐射源分布、拦截火力轴航路与触发判据；输出为撞击战果及敌开机规律、阵位坐标（由同型机带回）。接口是与己方蜂群长机、主力巡飞弹同源一致的信号特征管理，以及己方无源侦察对敌发射量、开机时长的旁证通道。 | 首要测敌咬合率与从咬合到发射的时延，检验辐射功率谱、调制节拍、散射截面与热源在敌传感器分辨率内是否真的不可分；其次测每架次净消耗敌拦截弹数与撞中弹体、发射阵位的概率；第三测无回链下判定正确率与误撞己方蜂群概率，此项不过关装备即为负资产。 |
| 伞骨张环拦截无人机 | 不装炸药、不通链、不辐射：机首折叠伞骨须在撞入前数十毫秒张满并锁成刚性承力框，靠高储能比张紧机构、自锁关节与变截面传力路径解决"折叠构型省体积"与"张开后抗冲击"的矛盾，落点必须落在机首前向包络。 | 交会按碰撞律只解相对位置与速度，不读取任何电磁语义，敌机动、诱饵与电子压制均不改变判据。值班授权只有放行与禁射区两级；超出捕获窗口或需本机横越禁射区即拒打复位，把目标让给末端火炮与软杀伤。 | 输入为预设拦截扇面、禁射区与被动光电图像，距离靠几何量反推；输出为敌机坠地坐标及反推的来袭方向航路，交友邻下一波值守修正扇面。接口是与末端火力、软杀伤的分层让渡判据。 | 测张环张开完成时间、张开后承载刚度与吸能量，标定可捕获速度与航向交叉角包线；测被动光电首次稳定跟踪距离及夜暗、雨雾、强逆光下的降级幅度；测共坠落点散布与残骸危险区半径、全时值守零辐射的可验证性。现有材料只支撑视光明亮条件下的近距单目标捕获，多批次与不良气象属未定项。 |
| 雾瞳蔽光巡飞攻击弹 | 先造一段"看不见"再沿其俯冲：弹体后段设播撒舱，弹尾环形定流量喷口连续线源抛洒超细冷水与吸波微粒，粒径须与敌工作波长同量级并做抗凝聚处理，载液量与播撒功耗受弹重、续航硬约束；配方须对自机工作窗口选择性透过，否则幕体先致盲自己。 | 布幕段自机保持在幕体边缘之外，末段改无源图像匹配加中段地形基准，不开任何辐射；敌发射车仍具机动能力时不提前起爆，确认轮廓后俯冲；风场使幕提前消散、遮蔽不足一个俯冲周期或敌已转移即拒打侧向脱离。 | 输入为敌观瞄阵地与拦截车预设阵位的通视关系、实时风场预报（用于修正投放点）；输出为通道段的可用时段与毁伤回传，供火力协调单元重排下一波航路。接口是友邻无源探测给出的方位走廊框定，以及后续波次复用同一通道的通行约定。 | 以通道有效性计量：可见/近红外、中远红外、毫米波三谱路径衰减一致性、成幕时间、有效停留时长、可维持通道长宽、风切下的形态保持率、单枚可开通道段的架次效率；最终判据是敌恢复观测的时间与我方完成清除的时间差。 |
| 崖影穿谷攻击无人机 | 构型取舍集中在"始终不越出地面杂波层"：机体尺寸与升力安排服务于山谷、崖壁与城市峡谷内的贴地通视约束，导航与目标识别全部预置在机上，不留数据链舱段与天线开口。 | 靠预置地形影像与光学自主导航穿谷机动，不开链、不辐射，只在通视目标的瞬间转入俯冲，使断链与导航欺骗都不改变其接敌几何。 | 输入为峡谷与城市街区的三维地形影像基准、杂波层内可用航路与目标类别；输出为敌低空雷达站、光电警戒点与前沿指挥节点的毁伤结果。本装备与其余装备之间的协同接口在现有材料中没有依据，须单独界定。 | 三项关键变量尚未标定，不能落为指标：杂波层内高度保持容差（决定何时露出敌雷达可分辨回波）、影像基准随季节与工程变更的过期时限、数秒通视窗口内的末段识别概率。缺这三项风洞与实飞数据前，其突防可行性只能按方向判断。 |
| 倒悬坠袭伏击无人机 | 长期倒悬吸附与可控脱附互为死结：持力做在法向、释放做在剪切，采用可控静电吸附与仿刚毛柔性接触层复合，并在吸附模块与机体界面设机械解锁件，使出击不必对抗自身持力；另设机械锁附承风载与车辆振动的长时载荷。 | 准静态值守、事件触发唤醒的分层探测：声学阵列以桨叶通过频率与谐波结构从桥面交通、风雨、伸缩缝噪声中分离旋翼特征，配合微动多普勒测向测高并外推航路，判型与提前量压入边缘低功耗单元，与脱附点火串成硬线击发链。交战依据战前批准的类别、走廊、时段与禁射条件本地闭环，链路中断仍按同一规则运行；与风振鸟群混叠或己方有人机可能进入同一净空即拒打，点火失败弃位转入销毁计时。 | 输入为区域防空指挥所下发的遮蔽走廊清单与特征模板、桥面检修口等布设通道条件；输出经桥体有线链路或延时短突发交邻域节点。接口是邻域拦截火力与电子战分队据击杀回传重排该走廊封锁优先级。 | 第一道生死线是无源判型可用距离与脱附至命中所需时间之比，识别距离小于闭合行程则物理上不可能命中；同时测虚警率与误伤率（决定敌是否把告警当噪声、我方是否被迫停用整段防护），并在粗糙潮湿带雨膜面、温差循环下标定布设合格判据。 |
| 无影猎群拦截无人机 | 由"感知成本转嫁给敌方辐射"倒推为纯接收平台：机身只保留接收孔径与处理载荷，机间以高稳定时频基准构成可干涉的多基线阵，末段以破片战斗部从侧向插入航路，全程无发射机开关动作。 | 控制核心是信号分选与目标绑定：在敌群上行遥控与下行图传的混合信号中，按频点驻留、帧结构与方位稳定度剔除地面站与诱骗源，把每部机体辐射与其航迹绑定，多基线联合解算给出可用于火力的位置与速度，群内目标由一片杂波变为可编号序列，再按距离、航向收敛角与是否挂载排序分配通道。 | 输入即敌自身供给的图传与遥控信道；输出为可编号目标序列、击落战果与残余编队的同时性下降情况。接口是使要地防空雷达、指挥所与电子战站得以长期保持电磁静默而不失明的补位关系。 | 决定性判据是无源定位的方位角均方根误差与测距误差能否达到火控级而非告警级；对跳频与间歇低功率上行信号的截获概率、解算时延与从截获到可交火的周期；群内单体分辨与真假目标判别正确率、单机同时接战与再交战通道数、侧向插入末段无源交会命中率，以及己方辐射占空比必须为零。 |
| 无药坠杆低成本攻击无人机 | 以高密度钨钢杆件替代炸药，毁伤全靠终端法向速度与入射角，因此制导精度要求高于破片战斗部；前置配重改变重心与投放冲击，与折叠翼展开、滑翔配平强耦合，机头战斗部舱须设对铝合金机体、钢制发射筒、观瞄镜面的分级侵彻判据和冲击隔离解锁机构。 | 无动力滑翔待机期间不辐射、不开链，仅以惯导与地形影像匹配保持位置；降至匹配高度后对预定点位连续成像比对基准，出现开盖、装筒、起桅或车辆活动才俯冲增速，以近垂直入射贯穿；置信度不足或判为禁打目标自主终止，命中后转下一预定区，同批剩余机体继续待机。 | 输入为目标区近期影像基准、目标特征与禁打清单；输出为机体、发射筒与观瞄设备的物理摧毁。接口一是运输级平台投放线必须位于敌近防射程外并与本机滑翔覆盖距离匹配，二是首轮毁伤后交远程火力覆盖敌疏散路线。 | 测基准影像的可接受过期时限与敌暴露到命中的端侧时延（须短于数分钟再装填窗口）；测近垂直入射角与终端速度组合下的发射筒盖贯穿率；测终端识别正确率与误伤率、待机时长、单发成本对敌拦截弹与单车成本的交换比、单位时间可有效压制的再装填点数量。 |

验证口径不能合并：伞骨、无影、倒悬三件都以零辐射为前提，但检验对象分别是几何捕获包线、火控级无源定位误差、判型距离与击发时间之比，共用一套流程会同时掩盖三者的失效点；蜃楼与雾瞳共享一条反向约束——己方信号与己方幕体都不得致盲或干扰自机，两机的多谱一致性须分别在同型真目标背景下考核。建设取舍上，P1至P3三项在断链条件下即可闭合杀伤或拦截，宜先行；其余方向的价值依赖敌是否仍前置有人值守的拦截闭环，若敌转向纯无源远程火力与纵深防空，诱撞与遮蔽两类装备的收益将被摊薄，此时应以廊道预置覆盖率与投放密度是否达标作为继续投入的判据。
