三、总体方案

（二）子系统方案

本项目不采用“探测、干扰、拦截、评估”四类子系统的统一套型，而按各装备改变交战关系的方式确定产品形态。随浪伏击反蜂群弹和迎面撒网捕蜂拦截弹依靠预置几何拒止，掠波连扫拦截机依靠重复穿越截面，驻空扫域电磁灭群巡飞弹依靠驻留时间形成区域效应，引浪吞波聚爆诱杀弹依靠真假源聚集来袭弹药，过境层云爆轰断波弹依靠时间窗内的层域毁伤，撞线自付近防弹巢则把开火条件压缩到真实末端撞击。各装备均需保留与预警、授权、战果复核和补充保障的接口，但不能由指挥软件替代装备本体能力。

| 装备 | 产品形态与控制机理 | 必要输入、输出及关键接口 | 工程验证与成立边界 |
|---|---|---|---|
| 随浪伏击反蜂群弹 | 采用坐底潜藏式发射筒，长期低功耗被动监听，不主动联网。弹上水声阵只判明密集波群的来向和过顶时刻，达到波次门限后垂直穿浪，在掠海高度带形成破片杆幕，按波而非按架次毁伤。 | 输入是海区水声背景、波群方位和过顶时序；输出为波次判明、触发时刻和残余航迹提示。需与布设航路、友方船艇净空、后端雷达和远程火力建立低带宽移交接口。 | 首先验证风浪、混响和民用噪声条件下的波次漏判与虚警，再验证坐底自持、再激活、穿浪姿态和破片幕有效高度。水深底质不适配、敌绕开走廊、声学判明失能或时间窗口不足时降级；现有材料缺少典型蜂群声学样本和海区实测数据。 |
| 掠波连扫拦截机 | 取消单机搜索、识别和末段寻的设备，采用可重复出动的平台与横向展开破片刃带。平台依据波前所在走廊和高度层侧向切入，完成一次掠穿后返转再扫，把杀伤单元从单架改为波前截面。 | 输入仅需波前位置、宽度、高度和到达时间窗；输出为截面清削结果和漏过方向。接口重点是波级预警、值班机调度、刃带补充和末端点防御移交，不要求持续单机航迹。 | 验证重点是刃带成形宽度、空间密度、掠穿时机、重复出动率和平台生存性，而非单发命中率。敌改为多方位小群、异步渗透或波前过度拉散时，截面收益下降；当前底稿尚无单趟清削率、再生周期和自身损失率数据。 |
| 驻空扫域电磁灭群巡飞弹 | 以一次性驻空巡飞平台搭载宽频高功率微波源、定向天线和脉冲供电系统，在节点与来袭走廊之间占位。控制对象是覆盖空域和驻留时段，按扇区周期照射，使未充分加固的飞控、电调、通信和导航链路批量失能。 | 输入为威胁主扇区、到达时间、高度带和己方禁扫方向；输出为覆盖状态、照射占空比和区域失能判定。必须连接节点预警、空域管制、轮换补位和硬杀伤接续接口。 | 先做弹载电源、热管理、天线效率和电磁兼容试验，再测不同无人机抗扰结构下的有效作用距离与重复脉冲效果。目标全面屏蔽、位于波束外、借地形遮蔽或驻空体被反辐射摧毁时失效；现有材料不足以支持有效能注和交换率点值。 |
| 引浪吞波聚爆诱杀弹 | 采用贴近真节点布设的仿形主动辐射诱饵组，真节点保持静默。诱饵复现高价值节点的辐射特征，诱使反辐射弹药向组内收拢；当弹群进入预设包线后，诱饵组以温压和定向破片成簇起爆。 | 输入是目标节点辐射特征、静默时序、敌来袭方向和收拢包线；输出为诱爆时刻、批次毁伤和诱饵在位率。接口集中在节点静默纪律、诱饵换装、近旁火力净空和波次后补充。 | 验证不能只看信号相似度，还要检验敌导引头分选、收拢比例、引信抗诱骗和爆区对真节点的隔离。敌改用预编程、卫星或光学直击，或真节点静默不彻底时，机制退化；当前没有敌分选算法和收拢弹道包线证据。 |
| 迎面撒网捕蜂拦截弹 | 采用无源柔性网弹，由气球或运输机在低空走廊入口成串投放，网体依靠迎面气流展开，以网丝缠绕旋翼和气动面使密集前排失速坠落。其控制重点是段位、投放时序和补网节奏，不配置复杂制导设备。 | 输入为走廊宽度、风场、波次间隔和密度；输出是各段净通过量与落网清点结果。需和走廊观察、远程火力、航空净空及网材补给接口配合。 | 应验证不同风速、侧风和雨雪条件下的成网完整度、包裹率、在位时间及补网周期。走廊过宽、敌改高空或多路分散、波次间隔短于补网周期时效能下降；无源网幕还要求严格的己方低空交通管制。 |
| 过境层云爆轰断波弹 | 采用车载储喷、雾化铺展、多点同步起爆的一体化系统，在末端走廊按过境时间窗铺设覆盖目标高度带的可爆气溶胶层，以整层体爆轰替代逐架拦截。 | 输入为敌过境时间窗、航向、高度和气象场；输出为层完整性判定、起爆状态和残余目标方向。接口主要连接外部判窗、气象监测、车辆展开、同步起爆和残余火力接续。 | 最大风险是海上风场、湿度和湍流造成气溶胶层漂移、沉降或浓度不均，另需验证多点同步和己方平台避让。敌绕行、分层越高、以假波诱爆或连续小波穿越时，固定时间窗成本优势明显减弱；当前缺少开放海况下成层保持和同步毁伤试验。 |
| 撞线自付近防弹巢 | 在节点外缘、顶面和伪装体周边密布无辐射一次性弹巢，采用被动末端接近判据。只有目标真实指向受护节点并进入近距撞击航段时，最近弹巢自主迎面起爆，圈外巡飞和远距诱饵不触发。 | 输入限定为目标相对接近方向、速度变化和撞击趋势；输出为局部拦截、弹巢耗用和节点周边残余威胁。接口是节点边界测绘、友邻目标识别、弹巢安全隔离和战后补充。 | 必须验证真实撞击趋势与过航目标的区分、近距引信安全性、弹巢覆盖间距及误伤概率。现有底稿没有足够参数证明其探测方式、杀伤半径和布设密度，不能转化为确定性指标；对高空投放、远距发射或非撞击式攻击不构成有效防护。 |

上述子系统的集成验证也应分别设置判据：水下伏击弹看波次判明与末端残余，连扫拦截机看截面清削和再出动节拍，电磁巡飞弹看覆盖域连续性与目标失能比例，诱杀弹看敌弹收拢及真假源不可辨程度，网弹看段净通过率，层云弹看成层完整性与时间窗命中，弹巢看真实撞线拦截和误触发率。项目建设应优先验证能够改变成本交换和饱和峰的前置装备，同时把海况、风场、目标抗扰、敌自主性、走廊可收口性和友方净空作为明确的否决条件。
