## 五、研制基础

### （二）技术基础

本项目已有基础主要来自小型无人飞行器、巡飞弹、弹载光电与红外探测、射频被动感知、惯性导航、飞控、数据链、模块化载荷和精确引信等工程方向。公开材料能够支持分布式部署、低成本规模化和受扰条件下保持任务连续性的需求判断，但未提供本项目各型装备的定型型号、实测性能、批量制造能力或作战试验结论。因此，研制工作应以现有单机技术继承为起点，把重点放在弹上感知、局部决策、分散协同和复杂环境验证的重新组合上。

| 装备 | 可继承的技术与工程基础 | 新增工作及研制缺口 | 试验与供应链条件 |
|---|---|---|---|
| 百链分散攻击巡飞弹 | 可继承小型巡飞弹气动布局、惯性导航、光电/红外载荷、射频被动探测、飞控和精确毁伤载荷基础。 | 需在有限口径、功耗和算力下实现多模弱信号融合、抗诱骗局部跟踪、失联运行和弹间任务重分配；目前缺少通信受扰下区分真目标与诱饵的实测依据。 | 需要批量一致性制造、低功耗传感器和弹载计算机供应链；应开展单弹抗干扰跟踪、部分弹体损失后的剩余单元接替，以及多方向末段攻击试验。 |
| 低换高耗攻击巡飞弹 | 可继承低成本无人机平台、模块化动力电源、惯导、任务计算机和一次性载荷制造基础。 | 新增重点是低成本平台的批量校准、末端自主选靶、抗遮挡识别和航迹差异控制；尚无证据证明在信息不完整条件下仍能稳定避免诱饵牵引和相互干扰。 | 需建立机体、动力、导航和载荷的可替换接口，验证制造偏差对航迹和识别的影响，并进行规模投放、电子压制、诱饵和分层拦截环境下的综合试验。 |
| 时敏断窗打击导弹 | 可继承精确制导导弹的飞控、导航、引信、战斗部和外部目标指示接口。 | 必须新增“拒止—更新—毁伤”双阶段任务控制，使导弹在目标尚未完全确认时保持可复核作用，并兼顾载荷、姿态、能量和中止逻辑；授权边界及初段效应的可控性仍缺少验证数据。 | 需要阶段转换控制器、抗间歇通信链路和安全引信供应能力；试验应覆盖目标转移、身份变化、附带风险上升和链路中断条件，确认拒止效果不会直接造成不可控毁伤。 |
| 相变门控前置拦截弹 | 可继承高速拦截弹的制导、末段控制、战斗部、引信和多源航迹接入技术。 | 核心新增是相变门控结构在高速过载、气动加热和振动下的稳定换态，以及前置压制与终端毁伤的低时延切换；目前没有该结构的工程样机、寿命和环境适应性证据。 | 需具备特种材料、门控执行机构、战斗部和飞控联合供应链；应先完成材料换态、结构可靠性和地面安全试验，再开展变轨、静默、诱饵条件下的全过程拦截验证。 |
| 低耗复用突击无人机 | 可继承可回收无人机平台、挂载接口、短距通信、飞控、任务计算机和一次性小型突击单元基础。 | 新增工作集中于载体稳定释放、分批投放、释放后姿态修正、载体保留决策和抗干扰状态共享；尚缺少局部拦截下载体持续控制、再次接敌和安全回收的工程证据。 | 需要高可靠释放机构、批量突击单元和可维护回收保障线；试验应比较先期单元被拦截、目标转移和通信中断时的追加释放、撤离与再任务能力。 |
| 并行围断攻击巡飞弹 | 可继承巡飞弹飞控、导航、近距数据链、引信和目标毁伤评估技术。 | 需突破断续链路下的弹间解耦、相互避碰、目标功能识别和条件化补击；“目标仍能发射、通信或机动”的判断尚无装备级测试依据，误把短时静默判为失能是主要风险。 | 需要低带宽通信、边缘计算和多弹协同测试条件；应验证首击未遂后的接替补击、目标失能后的终止投入，以及多向诱饵和局部压制环境下的资源保留。 |
| 瞬窗跃层攻击无人艇 | 可继承水下无人航行器、水面无人艇、声学探测、光电/雷达导航、推进和自主控制基础。 | 新增难点是水下接近、水面低特征机动和跃层攻击之间的连续控制，需解决浮力突变、波浪冲击、推进空化、姿态稳定及跨介质目标关联；海况和民用航迹对识别的影响尚未量化。 | 需要艇体、变浮力推进、耐冲击结构和跨域传感器供应链；应分阶段开展水下隐蔽航行、出水姿态、水面低特征接近和末段攻击试验，再验证近岸声学、雷达和诱饵混合环境。 |

总体看，六类空中装备可依托现有无人飞行器、导弹制导、弹载传感器和模块化制造基础启动研制；瞬窗跃层攻击无人艇还需补足跨介质平台的专用工程链。项目可研的关键缺口不是一般算法或流程，而是各装备在通信受扰、目标状态变化、诱饵干扰和部分单元损失条件下，能否把感知、决策、控制和直接作用稳定闭合。若缺少相应环境试验、批量一致性数据和安全授权验证，数量优势、局部自治或双阶段作用均不能直接转化为确定的军事效果。
