## 三、总体方案
### （二）子系统方案

| 装备方向 | 本体形态与控制机理 | 必要输入与关键接口 | 直接战果与验证边界 |
|---|---|---|---|
| 群栖自组巡飞精打弹 | 以多弹分布式自治为核心，弹群在链路受压时仍能在弹内完成目标分配、攻击轮换和损毁评估；外部体系只负责初始任务装订和战区级情报注入。 | 需要稳定的弹间低带宽协同、抗干扰导航和末端识别接口，不能把持续联网当成本体能力。 | 在GNSS受扰、链路间歇和伪装目标环境下，仍能把对手拖入搜索、分配和拦截节奏失配，直接压缩防御反应时间；若一离开外部C2就失效，则不成立。 |
| 蜂簇接力巡猎精打弹 | 以载体内接续释放多个小攻击单元为形态，前导单元先消耗拦截并迫使防空暴露，后续单元再补位完成毁伤。 | 关键在分离时序、子弹体安全释放和有限的接力通信，接口必须兼顾载荷约束与弹内再规划。 | 其价值不是单发命中率，而是把一次突防拆成连续多回合压力，迫使防御方难以按固定周期恢复和换防；若模块化抬高重量、成本或失效率，则不具备列装意义。 |
| 气膜掠波隐巡击弹 | 以近海超低空贴波飞行为本体能力，借海面背景和气膜效应压缩暴露时间，末端再切入识别和俯冲。 | 需要海面参考导航、低空姿态控制和对海况扰动的鲁棒约束，发射兼容与海上任务规划是外部接口。 | 直接效果是压缩岸基雷达、火控和防空单元的探测窗口，抬高漏防率；若必须依赖理想海况或高精地图，说明边界过窄。 |
| 形记忆折展巡飞精打弹 | 以巡航展开、接敌再折展的可变外形为形态，把低阻航程和临机机动装进同一弹体。 | 需要折展锁定、展开同步和机动姿态闭环控制，并要求发射舱兼容折展状态。 | 对沿岸舰艇、发射车和临机点目标的意义，在于临近接敌时突然改变翼面和盘旋半径，打开防御方原本估算不到的拦截窗口；若折展机构削弱可靠性，则会反噬任务价值。 |
| 磁流体矢控巡飞精打弹 | 以磁流体快速重分配形成侧向矢量控制，做出小半径折转和连续航迹扰动，提升末段不可预判性。 | 依赖电磁驱动、姿态感知和热管理闭环，输入不只是指令，还包括实时弹道状态。 | 它的制胜点是迫使防御提前发射并增加拦截消耗，而不是追求高机动表演；若功耗和热负荷把“低成本”条件吃掉，这条路线就失去成立基础。 |
| 双体耦合巡飞精打弹 | 以前体引导、后体主攻的耦合构型接敌，把同一次来袭拆成两次判断负荷。 | 需要前后体相对姿态控制、脱耦时序和目标接力接口，不能依赖长时间稳定链路。 | 它的作用是先消耗搜索与分配资源，再从偏置航向补入末攻，降低集中拦截效率并压制防空节点；若耦合逻辑必须靠持续通信维持，抗扰价值就大幅下降。 |
| “玄礁”水下跃升巡飞弹 | 以水下潜行、出水跃升、末段俯冲为连续动作，把空中拦截链提前甩开。 | 需要水下推进、出水姿态恢复、密封与末端识别的跨介质接口，且对发射/出水环境有明确边界。 | 其直接战果是打港湾、登陆点和靠岸舰艇，把防御方分开的岸防与防空程序重新拧成一个失配问题；若跨介质转换不稳定，整条链条就只剩概念意义。 |

这些子系统不能用同一套架构解释。真正决定岛链拒止环境中低成本巡飞精打弹药能否成立的，不是把算法名词堆进弹体，而是分别把抗扰导航、末端识别、群内分配、贴波突防、变形机动、矢量偏转、双体接力和跨介质隐蔽做成弹体本体能力，再把外部体系压缩为任务装订、情报注入和发射保障。工程验证也必须分项设门，在GNSS压制、链路间歇、诱饵伪装、海况扰动和近程拦截条件下分别检验末端命中、可控中止和失链生存，而不是在理想网络条件下验证一套通用示范。
